name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood
23,23,blonde redhead,4hiwl9ii9ccxptotzmq0mp,2007-04-16,43,318800,0.381,0.0189,0.8320000000000001,0.196,0.153,0.166,-5.069,0.0492,120.255,8,4,sad
9 crimes,9,damien rice,5gzeeowhvsiefdir8fq2im,2006-11-06,60,217946,0.346,0.913,0.139,7.730000000000001e-05,0.0934,0.116,-15.326,0.0321,136.168,0,4,sad
a la plage,a la plage,ron adelaar,79nmifagcxuivdgfcwddwf,2020-08-07,29,141888,0.504,0.994,0.0584,0.956,0.115,0.5529999999999999,-20.461,0.0516,134.209,5,4,calm
a little less conversation - jxl radio edit remix,elvis 75 - good rockin' tonight,elvis presley,4l2hnfux0essbitqa7ijt0,2009-12-28,1,211173,0.586,0.000155,0.935,0.277,0.159,0.58,-9.386,0.0482,114.997,4,4,happy
adagio for strings,adagio for strings,lucas & steve,1rvdsjcbdtes3lpiegnnmy,2018-11-09,55,197189,0.349,0.000877,0.7929999999999999,0.431,0.22,0.0398,-6.747999999999998,0.0677,127.139,10,4,energetic
adjustments,adjustments,josie mehlin,6w0vhpazbyjhrdobs3qe14,2020-01-17,52,182000,0.532,0.974,0.541,0.8640000000000001,0.228,0.329,-11.932,0.0283,136.063,0,4,calm
adrift,adrift,cooper sams,3tnngjgoq7o8vwalvld9fg,2018-03-21,53,158117,0.382,0.4970000000000001,0.333,0.918,0.106,0.0486,-15.573,0.0367,84.97399999999998,7,4,calm
africa,toto iv,toto,2374m0fqpwi3dlnb54qalx,1982-04-08,84,295893,0.6709999999999999,0.257,0.373,7.950000000000001e-05,0.0481,0.732,-18.064,0.0323,92.717,9,4,happy
after the rain,after the rain,comet blue,2xbc2jwnvpqno2lebvtlay,2020-08-03,24,116625,0.456,0.993,0.0337,0.948,0.126,0.3,-26.87,0.0334,97.199,0,4,calm
afterlife,avenged sevenfold,avenged sevenfold,4qdwsme04rg25kphcpyoox,2007-10-30,13,351560,0.4920000000000001,0.000444,0.95,6.22e-05,0.22,0.391,-4.195,0.076,110.027,2,4,energetic
algo rhythm,temporär musik 1-13,one sentence. supervisor,0pqj7lsknltqqmnqpdclna,2016-10-28,0,210626,0.402,1.19e-05,0.75,0.959,0.122,0.58,-7.358,0.0293,149.941,2,4,sad
alison,souvlaki,slowdive,55cenvq4alvdj1ps8ayb0m,1993,0,231893,0.279,0.00957,0.423,0.8370000000000001,0.128,0.291,-12.06,0.038,101.571,4,4,sad
alive,alive,paris blohm,2rpjcl8gqaua2nbdrynzzl,2018-11-16,51,180468,0.494,0.00248,0.847,0.0,0.0502,0.148,-3.996,0.0537,129.909,0,4,energetic
all mirrors,all mirrors,angel olsen,4zqdynvfiayhdoq5lcucq1,2019-07-31,1,282026,0.429,0.00299,0.6890000000000001,0.00193,0.152,0.23,-7.38,0.0379,105.04,7,4,sad
all of me,love in the future (expanded edition),john legend,3u4isoiwm3vvdubwsi3y7a,2013-08-30,85,269560,0.422,0.922,0.264,0.0,0.132,0.331,-7.064,0.0322,119.93,8,4,sad
always,back into your system,saliva,7kpa6mwrrpaf3b6c0dgiok,2002-11-12,63,231200,0.363,0.0122,0.906,0.0,0.172,0.371,-4.415,0.0615,181.96400000000003,1,4,energetic
anchor,anchor,novo amor,6x6xkeuccjguacd4xh7kup,2015-10-23,0,256282,0.486,0.755,0.356,0.861,0.0986,0.111,-13.649,0.0318,117.141,9,4,sad
